# Marketing attribution dashboard — Q4 2025. Attribution basis (touch-timing). Not directly comparable to Finance billing figures. See attribution_nov_dec_comparison.csv for prior-month variance trend.
ERPNext_Customer_ID,Client_Name,Attribution_Q4_Revenue_USD,Attribution_Method,First_Touch_Date,Notes
CUST-2025-0033,Marlstone Bioscience,179850,Multi-touch weighted,2025-10-03,Attribution timing basis — differs from Finance billing by design.
CUST-2025-0142,Ashford Scientific Instruments,236200,Multi-touch weighted,2025-10-02,Inherited-Bramwell account; touch-timing snapshot ~1.6% below billing register.
CUST-2025-0088,Caldwell Diagnostics,125800,Position-based,2025-10-08,Regulated (diagnostics) client; variance within normal 1–3% attribution timing band.
CUST-2025-0198,Fenwick Genomics,25100,Time-decay,2025-10-05,Retainer-based Bramwell legacy MSA; touch timing on associated placements.
CUST-2025-0157,Northlake Bioinstruments,82100,Multi-touch weighted,2025-10-15,Legacy account; late-Q4 renewal. Variance within normal band.
CUST-2025-0201,Wrenfield Scientific,86400,Last-touch,2025-11-03,Software client; timing gap of roughly 2% vs finance snapshot.
CUST-2025-0044,Cavendish Life Sciences,142900,Multi-touch weighted,2025-10-06,Attribution timing snapshot; variance in normal 1–3% band.
CUST-2025-0057,Prescott Analytics,68300,Linear,2025-10-11,First quarter of touch data since campaign restart.
CUST-2025-0061,Terrigen Diagnostics,113400,Position-based,2025-10-04,Regulated; touch-timing basis.
CUST-2025-0069,Wrenwood Reagent Systems,204600,Multi-touch weighted,2025-10-01,Sequencing-reagents demand-gen; timing basis.
CUST-2025-0075,Cornhill Diagnostics,91200,Time-decay,2025-10-09,Reagents catalog client; variance ~1.8%.
CUST-2025-0081,Dunstan Bioanalytics,156700,Multi-touch weighted,2025-10-17,Late touch coverage on new placements.
CUST-2025-0093,Blackwood Instruments,58900,First-touch,2025-11-05,Instrument OEM; short attribution window.
CUST-2025-0102,Rowanleaf Labs,74800,Linear,2025-10-22,Contract-labs vertical; timing basis.
CUST-2025-0109,Danbury Molecular,131500,Multi-touch weighted,2025-10-07,Molecular-diagnostics client; variance in band.
CUST-2025-0115,Milford Bioanalytics,49300,Position-based,2025-11-12,Emerging-account cohort; light touch history.
CUST-2025-0121,Southridge Bioinstruments,187600,Multi-touch weighted,2025-10-03,Services vertical; touch-timing 1.4% under billing snapshot.
CUST-2025-0128,Ridgeline Cellular,96700,Time-decay,2025-10-14,Cell-therapy adjacent; timing basis.
CUST-2025-0134,Ferris Peptide Labs,42800,First-touch,2025-11-19,Small account; single-campaign quarter.
CUST-2025-0149,Arcanum Biotech,163900,Multi-touch weighted,2025-10-08,Attribution basis (touch-timing).
CUST-2025-0155,Northwind Diagnostics,78200,Position-based,2025-10-20,Regulated; touch-timing snapshot.
CUST-2025-0162,Cygnet Analytics,55600,Linear,2025-11-01,Analytics-software; new client this quarter.
CUST-2025-0168,Highwater Genomics,148300,Multi-touch weighted,2025-10-06,Sequencing services; variance ~2.1% vs billing.
CUST-2025-0174,Ellersby Bioinstruments,101200,Time-decay,2025-10-13,Bioinstrumentation; touch-timing basis.
CUST-2025-0181,Ramsden Bioanalytics,88700,Position-based,2025-10-16,Regulated diagnostics; timing variance in band.
CUST-2025-0187,Trentham Diagnostics,64500,Multi-touch weighted,2025-10-27,Reagents catalog; timing basis.
CUST-2025-0193,Vantage Bioinstruments,119800,Last-touch,2025-10-10,Molecular-tools vertical; late-quarter close.
CUST-2025-0206,Marchmont Analytical Systems,72400,Multi-touch weighted,2025-10-18,Attribution basis (touch-timing); variance in band.
CUST-2025-0213,Coppergate Diagnostics,138700,Time-decay,2025-10-05,Sequencing reagents; timing basis.
CUST-2025-0219,Everleigh Bioinstruments,45900,First-touch,2025-11-14,Cell-culture-media client; short touch history.
CUST-2025-0225,Glenmore Diagnostics,167200,Multi-touch weighted,2025-10-02,Timing snapshot ~1.5% below billing register.
CUST-2025-0231,Ivybridge Reagent Labs,53700,Linear,2025-11-08,Peptide-synthesis client; new engagement.
CUST-2025-0238,Norwood Reagents,89400,Position-based,2025-10-21,Reagents distribution; timing basis.
CUST-2025-0244,Aster Diagnostics,105800,Multi-touch weighted,2025-10-09,Regulated; touch-timing snapshot.
CUST-2025-0251,Fitzroy Bioinstruments,76200,Time-decay,2025-10-12,Bioinstrumentation vertical; variance in band.
CUST-2025-0257,Beckley Molecular,124600,Multi-touch weighted,2025-10-06,Molecular tools; attribution timing basis.
CUST-2025-0263,Chalcedony Biotech,60300,First-touch,2025-11-06,Emerging biotech; single-quarter attribution.
CUST-2025-0269,Ellisford Biosystems,152100,Multi-touch weighted,2025-10-04,Timing snapshot; variance ~2.3% vs billing register.
CUST-2025-0275,Rowe Analytics,47800,Linear,2025-11-17,Analytics-services vertical; light history.
CUST-2025-0282,Woodmere Cellular,98400,Position-based,2025-10-24,Cell-therapy adjacent; touch-timing basis.
